,Predicted Classical,Predicted Country,Predicted Electronic,Predicted Folk,Predicted Hip-Hop/R&B,Predicted Jazz/Blues,Predicted Metal,Predicted Pop,Predicted Punk,Predicted Rock
Actual Classical,45452,1131,2813,3425,522,3857,1002,707,284,728
Actual Country,653,9989,236,2378,377,1332,102,1265,316,845
Actual Electronic,12840,3411,89415,7249,30487,11485,12116,13401,5796,6075
Actual Folk,1925,4738,936,6664,840,2379,422,1355,543,1057
Actual Hip-Hop/R&B,615,1299,5424,1666,28976,1966,636,2775,1138,966
Actual Jazz/Blues,6925,5020,3536,5969,3799,29025,742,2754,1050,2394
Actual Metal,1214,308,2730,817,610,597,35564,864,7645,2899
Actual Pop,2748,10966,6881,7393,8009,5103,2005,16477,4069,5561
Actual Punk,283,835,1391,761,1108,554,4669,874,11210,2303
Actual Rock,7089,21354,10223,14375,8229,11803,25424,15005,28549,29375
