,Predicted Classical,Predicted Country,Predicted Electronic,Predicted Folk,Predicted Hip-Hop/R&B,Predicted Jazz/Blues,Predicted Metal,Predicted Pop,Predicted Punk,Predicted Rock
Actual Classical,44240,1131,2974,3734,565,4298,1219,584,326,850
Actual Country,648,9572,259,2423,459,1538,156,1075,513,850
Actual Electronic,13674,4046,85967,6916,32389,11433,13958,11835,6420,5637
Actual Folk,1991,5213,1013,5917,882,2578,505,1095,690,975
Actual Hip-Hop/R&B,649,1781,5598,1543,28354,1972,770,2566,1374,854
Actual Jazz/Blues,7947,6363,3776,6167,3951,26237,813,2332,1234,2394
Actual Metal,1253,439,2827,717,713,614,34652,867,8180,2986
Actual Pop,2837,13034,7020,6778,8387,4838,2996,12779,4824,5719
Actual Punk,328,1087,1400,658,1257,611,4912,837,10655,2243
Actual Rock,7602,23057,10445,13407,8990,11771,26841,13314,29240,26759
