,Predicted Classical,Predicted Country,Predicted Electronic,Predicted Folk,Predicted Hip-Hop/R&B,Predicted Jazz/Blues,Predicted Metal,Predicted Pop,Predicted Punk,Predicted Rock
Actual Classical,40552,51,9152,204,88,3718,317,374,1,5464
Actual Country,659,1277,1159,266,131,1884,20,1259,2,10836
Actual Electronic,6629,157,140610,219,5868,5491,4225,2465,106,26505
Actual Folk,1892,407,3498,723,188,2909,138,1150,5,9949
Actual Hip-Hop/R&B,412,78,21550,55,14495,1114,211,1113,13,6420
Actual Jazz/Blues,6908,418,12914,406,1001,22753,186,1436,9,15183
Actual Metal,557,14,7901,13,102,317,23885,145,385,19929
Actual Pop,2202,528,19855,371,2284,3419,758,5862,58,33875
Actual Punk,166,35,3827,31,212,304,3654,175,777,14807
Actual Rock,4824,763,30535,597,1766,6858,11358,4651,699,109375
